year,nkids,eitc_pirate,eitc_mininc,eitc_max,eitc_porate,eitc_pothresh_beg_shoh,eitc_pothresh_end_shoh,eitc_pothresh_beg_mfj,eitc_pothresh_end_mfj,eitc_invtinc_cap,eitc_agi_test_shoh,eitc_agi_test_mfj
2017,0,.0765,6670,510,.0765,8340,15010,13930,20600,3450,8350,13950
2017,1,.34,10000,3400,.1598,18340,39617,23930,45207,3450,18350,23950
2017,2,.4,14040,5616,.2106,18340,45007,23930,50597,3450,18350,23950
2017,3,.45,14040,6318,.2106,18340,48340,23930,53930,3450,18350,23950
2018,0,.0765,6780,519,.0765,8490,15270,14170,20950,3500,8500,14200
2018,1,.34,10180,3461,.1598,18660,40320,24350,46010,3500,18700,24350
2018,2,.4,14290,5716,.2106,18660,45802,24350,51492,3500,18700,24350
2018,3,.45,14290,6431,.2106,18660,49194,24350,54884,3500,18700,24350
2019,0,.0765,6920,529,.0765,8650,15570,14450,21370,3600,8650,14450
2019,1,.34,10370,3526,.1598,19030,41094,24820,46884,3600,19050,24850
2019,2,.4,14570,5828,.2106,19030,46703,24820,52493,3600,19050,24850
2019,3,.45,14570,6557,.2106,19030,50162,24820,55952,3600,19050,24850
2020,0,.0765,7030,538,.0765,8790,15820,14680,21710,3650,8800,14700
2020,1,.34,10540,3584,.1598,19330,41756,25220,47646,3650,19350,25520
2020,2,.4,14800,5920,.2106,19330,47440,25220,53330,3650,19350,25520
2020,3,.45,14800,6660,.2106,19330,50954,25220,56844,3650,19350,25520
2021,0,.153,9820,1502,.153,11610,21430,17560,27380,10000,11650,17600
2021,1,.34,10640,3618,.1598,19520,42158,25470,48108,10000,19550,25500
2021,2,.4,14950,5980,.2106,19520,47915,25470,53865,10000,19550,25500
2021,3,.45,14950,6728,.2106,19520,51464,25470,57414,10000,19550,25500
2022,0,.0765,7320,560,.0765,9160,16480,15290,22610,10300,9200,15300
2022,1,.34,10980,3733,.1598,20130,43492,26260,49622,10300,20150,26300
2022,2,.4,15410,6164,.2106,20130,49399,26260,55529,10300,20150,26300
2022,3,.45,15410,6935,.2106,20130,53057,26260,59187,10300,20150,26300
2023,0,.0765,7840,600,.0765,9800,17640,16370,24210,11000,9800,16370
2023,1,.34,11750,3995,.1598,21560,46560,28120,53120,11000,21560,28120
2023,2,.4,16510,6604,.2106,21560,52918,28120,59478,11000,21560,28120
2023,3,.45,16510,7430,.2106,21560,56838,28120,63398,11000,21560,28120
2024,0,.0765,8260,632,.0765,10330,18591,17250,25511,11600,10330,17250
2024,1,.34,12390,4213,.1598,22720,49084,29640,56004,11600,22720,29640
2024,2,.4,17400,6960,.2106,22720,55768,29640,62688,11600,22720,29640
2024,3,.45,17400,7830,.2106,22720,59899,29640,66819,11600,22720,29640
2025,0,.0765,8490,649,.0765,10620,19104,17730,26214,11950,10620,17730
2025,1,.34,12730,4328,.1598,23350,50434,30470,57554,11950,23350,30470
2025,2,.4,17880,7152,.2106,23350,57310,30470,64430,11950,23350,30470
2025,3,.45,17880,8046,.2106,23350,61555,30470,68675,11950,23350,30470
